ГЛ1;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ2;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ3;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ4;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ5;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ6;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ7;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ8;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
ГЛ9;25;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
НК1;60;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
НК2;60;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
НК3;60;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
НК4;60;00;01;02;03;04;05;10;11;12;13;14;15;20;21;22;23;24;25;30;31;32;33;34;35;40;41;42;43;44;45;
